# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
2.80000e+01 1.13430e+01 5.13800e+02 3.00000e-05 9.65000e-01 2.15000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.70000e+01 1.23990e+01 5.22300e+02 3.00000e-05 9.65000e-01 2.08000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.60000e+01 1.35240e+01 5.30700e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.50000e+01 1.47380e+01 5.39200e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.40000e+01 1.60410e+01 5.47500e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.30000e+01 1.74330e+01 5.56000e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.20000e+01 1.89240e+01 5.64300e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.10000e+01 2.05230e+01 5.72400e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.00000e+01 2.22310e+01 5.80700e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.90000e+01 2.40470e+01 5.89300e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.80000e+01 2.59920e+01 5.97100e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.70000e+01 2.80650e+01 6.05200e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.60000e+01 3.02670e+01 6.13300e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.50000e+01 3.26160e+01 6.20800e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.40000e+01 3.51140e+01 6.28100e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
1.30000e+01 3.77690e+01 6.35500e+02 3.00000e-05 9.65000e-01 2.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
